+--------------------------------------------------------------------------+-----------+-----------------+----------+------------+------------+---------------------------------+
| Item                                                                     | Self time | % of total time | Time     | Item count | Cache hits | Incremental result hashing time |
+--------------------------------------------------------------------------+-----------+-----------------+----------+------------+------------+---------------------------------+
| LLVM_module_codegen_emit_obj ..........................................  | 32.23s    | 23.210          | 32.23s   | 257        | 0          | 0.00ns                          |
| LLVM_module_optimize ..................................................  | 27.22s    | 19.607          | 27.22s   | 257        | 0          | 0.00ns                          |
| LLVM_lto_optimize .....................................................  | 19.75s    | 14.222          | 19.75s   | 256        | 0          | 0.00ns                          |
| finish_ongoing_codegen ................................................  | 10.35s    | 7.456           | 10.36s   | 1          | 0          | 0.00ns                          |
| LLVM_thinlto ..........................................................  | 9.42s     | 6.784           | 9.55s    | 1          | 0          | 0.00ns                          |
| LLVM_thin_lto_import ..................................................  | 8.57s     | 6.170           | 8.57s    | 256        | 0          | 0.00ns                          |
| LLVM_passes ...........................................................  | 5.73s     | 4.126           | 5.73s    | 1          | 0          | 0.00ns                          |
| codegen_module ........................................................  | 4.55s     | 3.280           | 5.40s    | 256        | 0          | 0.00ns                          |
| codegen_module_perform_lto ............................................  | 4.21s     | 3.033           | 65.47s   | 256        | 0          | 0.00ns                          |
| codegen_module_optimize ...............................................  | 3.27s     | 2.357           | 30.50s   | 257        | 0          | 0.00ns                          |
| run_linker ............................................................  | 1.82s     | 1.314           | 1.82s    | 1          | 0          | 0.00ns                          |
| codegen_select_candidate ..............................................  | 1.42s     | 1.021           | 1.52s    | 19640      | 5846       | 6.39ms                          |
| type_op_prove_predicate ...............................................  | 931.04ms  | 0.671           | 1.10s    | 20370      | 55471      | 5.65ms                          |
| typeck ................................................................  | 851.53ms  | 0.613           | 1.02s    | 3899       | 33783      | 60.55ms                         |
| LLVM_module_codegen ...................................................  | 581.03ms  | 0.418           | 32.81s   | 257        | 0          | 0.00ns                          |
| evaluate_obligation ...................................................  | 546.02ms  | 0.393           | 713.73ms | 105940     | 1384584    | 17.99ms                         |
| items_of_instance .....................................................  | 543.82ms  | 0.392           | 3.89s    | 43937      | 0          | 39.84ms                         |
| symbol_name ...........................................................  | 440.78ms  | 0.317           | 473.83ms | 100592     | 496465     | 25.94ms                         |
| mir_borrowck ..........................................................  | 435.04ms  | 0.313           | 2.60s    | 2601       | 4579       | 663.63µs                        |
| eval_to_allocation_raw ................................................  | 415.39ms  | 0.299           | 1.14s    | 16825      | 47         | 11.81ms                         |
